Name,Description,Type,Adjudication,Adjustment Date,Unit Counts
Aircraft Sheet Metal Forming (Konstruksi Badan Pesawat Udara) MEA National Aerospace Industry Standards (Australia),MEA National Aerospace Industry Standards (Australia),Standar Kompetensi Kerja Internasional (SKKI),,18 April 19,23
EGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMAPERSADA NUSANTARA,EGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMAPERSADA NUSANTARA,Standar Kompetensi Kerja Khusus (SKKK),2/905/LP.00.00/IV/2021,30 April 2021,5
REGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PEMELIHARAAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMA PERSADA NUSANTARA,REGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PEMELIHARAAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMA PERSADA NUSANTARA,Standar Kompetensi Kerja Khusus (SKKK),2/904/LP.00.00/IV/2021,30 April 2021,16
BIDANG TEKNIS BIDANG PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI,SKKK PT. PAMA,Standar Kompetensi Kerja Khusus (SKKK),KEP. 2/497/LP.00.00/VII/2020,20 Juli 2020,35
"BIDANG TEKNIS PENGAWAS OPERASIONAL, PEMELIHARAAN DAN PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI",SKKK PT. PAMA,Standar Kompetensi Kerja Khusus (SKKK),KEP. 2/494/LP.00.00/VII/2020,20 Juli 2020,39
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Lainnya pada Jabatan Kerja Mandor Pekerjaan Timbunan Tubuh Bendungan Tipe Urugan,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Lainnya pada Jabatan Kerja Mandor Pekerjaan Timbunan Tubuh Bendungan Tipe Urugan,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),180 Tahun 2019,31 Juli 2019,3
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Ahli Hidrolika,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Ahli Hidrolika,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),151 Tahun 2019,17 Juli 2019,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Teknik Pantai,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Teknik Pantai,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),206 Tahun 2019,15 Agustus 2019,21
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Ahli Teknik Rawa,-,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),169 Tahun 2019,18 Juli 2019,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Mandor Drainase Jalan,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Mandor Drainase Jalan,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),208 Tahun 2019,15 Agustus 2019,3
Kategori Konstruksi Golongan Pokok Konstruksi Gedung Pada Jabatan Kerja Ahli Elektrikal Konstruksi Bangunan Gedung,Kategori Konstruksi Golongan Pokok Konstruksi Gedung Pada Jabatan Kerja Ahli Elektrikal Konstruksi Bangunan Gedung,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),162 Tahun 2019,18 Juli 2019,8
Kategori Konstruksi Golongan Pokok Konstruksi Gedung pada Jabatan Kerja Ahli Perawatan Bangunan Gedung,SKKNI Nomor 255 Tahun 2019 tanggal 17 September 2019,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),255 Tahun 2019,17 September 2019,8
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Ahli Geologi Pekerjaan Konstruksi,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Ahli Geologi Pekerjaan Konstruksi,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),149 Tahun 2019,17 Juli 2019,9
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Grouting Bendungan Besar,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Grouting Bendungan Besar,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),153 Tahun 2019,18 Juli 2019,4
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Hydraulic Hammer Breaker,.,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),158 Tahun 2019,18 Juli 2019,4
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Pile Drive Hammer,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Pile Drive Hammer,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),150 Tahun 2019,17 Juli 2019,3
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Pneumatic Tire Roller,-,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),164 Tahun 2019,18 Juli 2019,6
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Ripper Tractor,-,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),165 Tahun  2019,18 Juli 2019,4
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Vibrator Roller,-,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),168 Tahun 2019,18 Juli 2019,6
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Teknisi Refrigerasi dan Tata Udara,.,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),41 Tahun 2019,22 April 2019,27
Standar Kompetensi Kerja Nasional Indonesia Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Perawat Fasilitas Pelabuhan,Standar Kompetensi Kerja Nasional Indonesia Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Perawat Fasilitas Pelabuhan,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),Kep. 234 tahun 2019,04 Juli 2022,36
"Kategori Aktivitas Profesional, Ilmiah dan Teknis Golongan Pokok Aktivitas Arsitektur dan Keinsinyuran; Analisis dan Uji Teknis Bidang Inspeksi Konstruksi, Fabrikasi, Sipil dan Struktur","Kategori Aktivitas Profesional, Ilmiah dan Teknis Golongan Pokok Aktivitas Arsitektur dan Keinsinyuran; Analisis dan Uji Teknis Bidang Inspeksi Konstruksi, Fabrikasi, Sipil dan Struktur",Standar Kompetensi Kerja Nasional Indonesia (SKKNI),171 Tahun 2018,27 Agustus 2018,13
Kategori Konstruksi Golongan Pokok Konstruksi Gedung Bidang Pembangunan Rumah Instan Sederhanan Sehat (RISHA),.,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),221 Tahun 2018,15 Oktober 2018,21
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Bidang Operasi Scaffolding,Menggantikan SKKNI 2008-211,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),214 Tahun 2017,03 Juli 2017,5
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Teknik Bendungan Besar,SKKNI nomor 308 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),308 Tahun 2016,24 November 2016,50
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Teknik Dermaga,SKKNI nomor 320 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),320 Tahun 2016,24 November 2016,35
Kategori Konstruksi Golongan Pokok Konstruksi Gedung Bidang Pemasangan Baja Ringan,Menggantikan SKKNI 2009-244 dan SKKNI 2013-368,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),184 Tahun 2016,13 Juni 2016,11
Kategori Konstruksi Golongan Pokok Konstruksi Gedung pada Jabaten Kerja Ahli Teknik Bangunan Gedung,SKKNI nomor 192 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),192 Tahun 2016,24 Juni 2016,28
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Golongan Konstruksi Khusus Lainnya Sub Golongan Konstruksi Khusus Lainnya Kelompok Usaha Pemasangan Kerangka Baja Jabatan Kerja Tukang Pasang Rangka Atap Baja Ringan,SKKNI baru,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),184 Tahun 2016,13 Juni 2016,11
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Tukang Besi Beton,SKKNI nomor 319 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),319 Tahun 2016,24 November 2016,5
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Tukang Cat Bangunan Gedung,SKKNI nomor 310 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),310 Tahun 2016,24 November 2016,8
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Tukang Kayu,SKKNI nomor 635 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),635 Tahun 2016,30 Desember 2016,8
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Tukang Pasang Bata,SKKNI nomor 317 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),317 Tahun 2016,24 November 2016,7
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Tukang Pasang Ubin,SKKNI nomor 309 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),309 Tahun 2016,24 November 2016,5
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Tukang Plambing,SKKNI nomor 304 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),304 Tahun 2016,24 November 2016,8
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Tukang Plester Bangunan Gedung,SKKNI nomor 307 tahun 2016,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),307 Tahun 2016,24 November 2016,5
"Kategori Jasa Profesional, Ilmiah dan Teknis Golongan Pokok Jasa Arsitektur dan Teknik Sipil; Analisis dan Uji Teknis Bidang Keahlian Manajemen Konstruksi",SKKNI nomor 390 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),390 Tahun 2015,12 Oktober 2015,32
"Kategori Jasa Profesional, Ilmiah dan Teknis Golongan Pokok Jasa Arsitektur dan Teknik Sipil; Analisis dan Uji Teknis pada Jabatan Kerja Ahli Teknik Lingkungan Bidang Jasa Konstruksi",SKKNI nomor 109 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),109 Tahun 2015,12 Maret 2015,8
"Kategori Jasa Profesional, Ilmiah dan Teknis Golongan Pokok Jasa Hukum dan Akuntansi pada Jabatan Kerja Ahli Kontrak Kerja Konstruksi",SKKNI nomor 88 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),88 Tahun 2015,09 Maret 2015,10
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Bidang Keahlian Teknik Jalan,SKKNI nomor 360 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),360 Tahun 2015,31 Agustus 2015,34
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Bidang Keahlian Teknik Jembatan,392 Tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),392 Tahun 2015,12 Oktober 2015,28
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Bidang Keahlian Teknik Sumber Daya Air,SKKNI nomor 384 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),384 Tahun 2015,17 September 2015,39
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Pemeliharaan Jalan dan Jembatan,SKKNI nomor 112 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),112 Tahun 2015,12 Maret 2015,6
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Perencanaan Jaringan Drainase,SKKNI nomor 86 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),86 Tahun 2015,09 Maret 2015,10
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Perencanaan Jembatan Rangka Baja,SKKNI nomor 130 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),130 Tahun 2015,26 Maret 2015,7
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Perencanaan Operasi dan Pemeliharaan Jaringan Irigasi,SKKNI nomor 53 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),53 Tahun 2015,24 Februari 2015,7
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Perencanaan Operasi dan Pemeliharaan Prasarana Sungai serta Pemeliharaan Sungai,SKKNI nomor 50 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),50 Tahun 2015,24 Februari 2015,9
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Rehabilitasi Jembatan,SKKNI nomor 93 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),93 Tahun 2015,09 Maret 2015,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Operator Launching Girder,99 Tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),99 Tahun 2015,09 Maret 2015,6
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Pelaksana Operasi dan Pemeliharaan Bendungan Tipe Urukan,SKKNI nomor 81 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),81 Tahun 2015,04 Maret 2015,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Pelaksana Pekerjaan Pemeliharaan Jaringan Irigasi,SKKNI nomor 110 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),110 Tahun 2015,12 Maret 2015,6
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Pelaksana Pekerjaan Pemeliharaan Sungai,SKKNI nomor 87 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),87 Tahun 2015,09 Maret 2015,6
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Pelaksana Pemeliharaan Jalan,SKKNI nomor 94 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),94 Tahun 2015,09 Maret 2015,7
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Pelaksana Pemeliharaan Jembatan,SKKNI nomor 195 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),195 Tahun 2015,21 April 2015,9
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Pengawas Lapangan Pekerjaan Drainase Perkotaan,SKKNI nomor 95 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),95 Tahun 2015,09 Maret 2015,7
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Teknisi Jembatan Rangka Baja,SKKNI nomor 79 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),79 Tahun 2015,04 Maret 2015,7
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Teknisi Prestressing Equipment,SKKNI nomor 91 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),91 Tahun 2015,09 Maret 2015,6
Kategori Konstruksi Golongan Pokok Konstruksi Gedung pada Jabatan Kerja Manajer Lapangan Pelaksanaan Pekerjaan Gedung,SKKNI nomor 108 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),108 Tahun 2015,12 Maret 2015,6
Kategori Konstruksi Golongan Pokok Konstruksi Gedung pada Jabatan Kerja Manajer Pengelolaan Bangunan Gedung,SKKNI nomor 115 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),115 Tahun 2015,12 Maret 2015,11
Kategori Konstruksi Golongan Pokok Konstruksi Gedung pada Jabatan Kerja Pelaksana Lapangan Pekerjaan Gedung,SKKNI nomor 205 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),205 Tahun 2015,30 April 2015,7
Kategori Konstruksi Golongan Pokok Konstruksi Gedung pada Jabatan Kerja Tukang Kayu Konstruksi,SKKNI nomor 85 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),85 Tahun 2015,09 Maret 2015,13
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Bidang Keahlian Teknik Mekanikal,391 Tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),391 Tahun 2015,12 Oktober 2015,27
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Ahli Pelaksanaan Pembongkaran Bangunan,SKKNI nomor 96 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),96 Tahun 2015,09 Maret 2015,6
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Operator Bore Pile,SKKNI nomor 111 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),111 Tahun 2015,12 Maret 2015,7
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Operator Dump Truck,SKKNI nomor 132 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),132 Tahun 2015,26 Maret 2015,6
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Pelaksana Teknik Plambing,SKKNI nomor 83 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),83 Tahun 2015,04 Maret 2015,6
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Pemasang Perancah dan Acuan/Cetakan Beton,SKKNI nomor 054 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),54 Tahun 2015,24 Februari 2015,7
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Pengawas Pekerjaan Mekanikal Bangunan Gedung,SKKNI nomor 107 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),107 Tahun 2015,12 Maret 2015,5
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Pipe Fitter,SKKNI nomor 266 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),266 Tahun 2015,01 Juni 2015,8
Penetapan Standar Kompetensi Kerja Nasional Indonesia Kategori Konstruksi Golongan Pokok Konstruksi Gedung pada Jabatan Kerja Ahli Rekayasa Konstruksi Bangunan Gedung,SKKNI nomor 106 tahun 2015,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),106 Tahun 2015,12 Maret 2015,9
"Kategori Jasa Profesional, Ilmiah dan Teknis Golongan Pokok Jasa Arsitektur dan Teknik Sipil; Analisis dan Uji Teknis Bidang Keselamatan dan Kesehatan Kerja (K3) Konstruksi",SKKNI nomor 350 tahun 2014,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),350 Tahun 2014,24 September 2014,39
Kategori Konstruksi Golongan Pokok Konstruksi Gedung Pada Jabatan Kerja Tukang Bangunan Gedung,SKKNI nomor 031 tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),31 Tahun 2014,29 Januari 2014,13
Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Manajer Pelaksanaan Lapangan Pekerjaan Mekanikal,SKKNI nomor 61 tahun 2014,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),61 Tahun 2014,17 Februari 2014,6
"Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Teknisi Yunior Pemasangan Pipa Transmisi dan Distribusi, Alat Ukur (Alat Ukur Tekanan dan Debit) dan Peralatan (Fitting dan Valve)",SKKNI nomor 62 tahun 2014,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),62 Tahun 2014,17 Februari 2014,7
"Kategori Jasa Profesional, ilmiah dan Teknis Golongan Pokok Jasa Arsitektur dan Teknik Sipil; Analis dan Uji Teknis Golongan Analis dan Uji Teknis Sub Golongan Analis dan Uji Teknis Kelompok Usaha Jasa Sertifikasi Jabatan Kerja Petugas Keselamatan dan Kesehatan Kerja (K3) Konstruksi",SKKNI Nomor 307 tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),307 Tahun 2013,12 November 2013,7
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Bangunan Sipil Lainnya Sub Golongan Konstruksi Bangunan Sipil Lainnya Kelompok Usaha Konstruksi Bangunan Prasarana Sumber Daya Air Jabatan Kerja Ahli Operasi dan Pemeliharaan Bendungan Tipe Urukan,SKKNI Nomor 375 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),375 Tahun 2013,31 Desember 2013,11
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Bangunan Sipil Lainnya Sub Golongan Konstruksi Bangunan Sipil Lainnya Kelompok Usaha Konstruksi Bangunan Prasarana Sumber Daya Air Jabatan Kerja Pelaksana Lapangan Pekerjaan Bronjong,SKKNI Nomor 365 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),365 Tahun 2013,31 Desember 2013,7
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Kereta Api dan Jembatan Kereta Api Jabatan Kerja Ahli Madya Perencana Struktur Jalan Rel,SKKNI Nomor 332 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),332 Tahun 2013,16 Desember 2013,10
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Kereta Api dan Jembatan Kereta Api Jabatan Kerja Manajer Teknik Pembangunan Jalan Rel,SKKNI nomor 388 tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),388 Tahun 2013,31 Desember 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Kereta Api dan Jembatan Kereta Api Jabatan Kerja Pelaksana Lapangan Pekerjaan Pembangunan Jalan Rel,SKKNI Nomor 194 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),194 Tahun 2013,15 Juli 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja  Pelaksana Lapangan Pekerjaan Jalan,SKKNI Nomor 373 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),373 Tahun 2013,31 Desember 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja Ahli Keselamatan Jalan,SKKNI Nomor 324 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),324 Tahun 2013,12 Desember 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja Ahli Material Jalan,SKKNI Nomor 325 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),325 Tahun 2013,12 Desember 2013,9
