Name,Description,Type,Adjudication,Adjustment Date,Unit Counts
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja Ahli Perencanaan Terowongan Jalan,SKKNI Nomor 328 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),328 Tahun 2013,12 Desember 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja Manajer Pelaksanaan Lapangan Pekerjaan Jalan/Jembatan,SKKNI Nomor 371 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),371 Tahun 2013,31 Desember 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja Mandor Perkerasan Jalan,SKKNI Nomor 192 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),192 Tahun 2013,15 Juli 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja Operator Mesin Pencampur Aspal,SKKNI nomor 382 tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),382 Tahun 2013,31 Desember 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja Operator Mesin Penggelar Aspal,SKKNI nomor 383 tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),383 Tahun 2013,31 Desember 2013,6
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja Operator Pompa Beton,SKKNI nomor 381 tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),381 Tahun 2013,31 Desember 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jalan dan Rel Kereta Api Sub Golongan Konstruksi Jalan dan Rel Kereta Api Kelompok Usaha Konstruksi Jalan Raya Jabatan Kerja Pelaksana Produksi Campuran Aspal Panas,SKKNI nomor 384 tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),384 Tahun 2013,31 Desember 2013,6
"Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jaringan Saluran Irigasi, Komunikasi dan Limbah Sub Golongan Konstruksi Jaringan Saluran Irigasi, Komunikasi dan Limbah  Kelompok Usaha Konstruksi Bangunan Pengolahan, Penyaluran dan Penampungan Air Minum, Air Limbah dan Drainase Area Kerja Operasi dan Pemeliharaan Unit Pelayanan Air Minum",SKKNI Nomor 334 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),334 Tahun 2013,16 Desember 2013,9
"Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jaringan Saluran Irigasi, Komunikasi dan Limbah Sub Golongan Konstruksi Jaringan Saluran Irigasi, Komunikasi dan Limbah Kelompok Usaha Konstruksi Bangunan Elektrikal Jabatan Kerja Ahli Madya Pengawas Pelaksanaan Konstruksi Bangunan Sipil Pembangkit Listrik Tenaga Mini Hidro",SKKNI Nomor 335 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),335 Tahun 2013,16 Desember 2013,7
"Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jaringan Saluran untuk Irigasi, Komunikasi dan Limbah  Sub Golonga Konstruksi Jaringan Saluran untuk Irigasi, Komunikasi dan Limbah Kelompok Usaha Konstruksi Bangunan Pengolahan Penyaluran dan Penampungan Air Minum, Air Minum, Air Limbah dan Drainase Jabatan Manajer Pelaksana Konstruksi Sistem Produksi Air Minum (SPAM)",SKKNI Nomor 344 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),344 Tahun 2013,16 Desember 2013,7
"Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jaringan Saluran untuk Irigasi, Komunikasi dan Limbah  Sub Golongan Konstruksi Jaringan untuk Irigasi, Komunikasi dan Limbah Kelompok Usaha Konstruksi Bangunan Pengolahan, Penyaluran dan Penampungan Air Minum, Air Limbah dan Drainase Jabatan Kerja Pelaksana Lapangan Pekerjaan Drainase Perkotaan",SKKNI Nomor 197 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),197 Tahun 2013,15 Juli 2013,7
"Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jaringan Saluran Untuk Irigasi, Komunikasi dan Limbah Sub Golongan Konstruksi Jaringan Saluran Untuk Irigasi, Komunikasi dan Limbah Kelompok Usaha Konstruksi Jaringan Saluran Irigasi Jabatan Kerja  Pelaksana Lapangan Pekerjaan Saluran Irigasi",SKKNI Nomor 378 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),378 Tahun 2013,31 Desember 2013,10
"Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Golongan Konstruksi Jaringan Saluran untuk Irigasi, Komunikasi dan Limbah Sub Golongan Konstruksi Jaringan Saluran untuk Irigasi, Komunikasi dan Limbah Kelompok Usaha Konstruksi Jaringan Saluran Irigasi Jabatan Kerja Ahli Muda Perencana Irigasi",SKKNI Nomor 337 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),337 Tahun 2013,16 Desember 2013,9
Kategori Konstruksi Golongan Pokok Konstruksi Gedung Golongan Konstruksi Gedung Sub Golongan  Pemasangan Bangunan Konstruksi Prafabrikasi untuk Konstruksi Gedung Kelompok Usaha Pemasangan Bangunan Konstruksi Prafabrikasi untuk Konstruksi Gedung Jabatan Kerja Ahli Muda Perencana Beton Pracetak untuk Struktur Bangunan Gedung,SKKNI Nomor 336 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),336 Tahun 2013,16 Desember 2013,9
Kategori Konstruksi Golongan Pokok Konstruksi Gedung Golongan Konstruksi Gedung Sub Golongan Konstruks Gedung Jabatan Kerja Pengawas Pekerjaan Struktur Bangunan Gedung,SKKNI Nomor 340 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),340 Tahun 2013,16 Desember 2013,9
Kategori Konstruksi Golongan Pokok Konstruksi Gedung Golongan Konstruksi Gedung Sub Golongan Konstruksi Gedung Jabatan Kerja Ahli Pemeriksa Kelaikan Fungsi Elektrikal Bangunan Gedung,SKKNI Nomor 208 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),208 Tahun 2013,24 Juli 2013,12
Kategori Konstruksi Golongan Pokok Konstruksi Gedung Golongan Konstruksi Gedung Sub Golongan Konstruksi Gedung Jabatan Kerja Ahli Pemeriksa Kelaikan Fungsi Mekanikal Bangunan Gedung,SKKNI Nomor 195 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),195 Tahun 2013,15 Juli 2013,15
Kategori Konstruksi Golongan Pokok Konstruksi Gedung Golongan Konstruksi Gedung Sub Golongan Konstruksi Gedung Kelompok Usaha Konstruksi Gedung Perkantoran Jabatan Kerja Ahli Pemeriksa Kelaikan Struktur Bangunan Gedung,SKKNI Nomor 193 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),193 Tahun 2013,15 Juli 2013,14
"Kategori Konstruksi Golongan Pokok Konstruksi Khusus Golongan Instalasi Sistem Kelistrikan, Air (Pipa) dan Instalasi Konstruksi Lainnya Sub Golongan Instalasi Air (Pipa), Pemanas dan Pendingin Kelompok Usaha Instalasi Air (Pipa) Jabatan Kerja Instalatur Unit Pelayanan Air Minum",SKKNI Nomor 346 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),346 Tahun 2013,16 Desember 2013,6
"Kategori Konstruksi Golongan Pokok Konstruksi Khusus Golongan Instalasi Sistem Kelistrikan, Air (Pipa) dan Instalasi Konstruksi Lainnya Sub Golongan Instalasi Sistem Kelistrikan Jabatan Kerja Pengawas Pekerjaan Iluminasi",SKKNI Nomor 339 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),339 Tahun 2013,16 Desember 2013,8
"Kategori Konstruksi Golongan Pokok Konstruksi Khusus Golongan Instalasi Sistem Kelistrikan, Air (pipa) dan Instalasi Konstruksi Lainnya Sub Golongan Instalasi Sistem Kelistrikan Kelompok Usaha Instalasi Listrik Jabatan Kerja Pelaksana Pekerjaan Iluminasi",SKKNI Nomor 312 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),312 Tahun 2013,21 November 2013,8
"Kategori Konstruksi Golongan Pokok Konstruksi Khusus Golongan Instalasi Sistem Kelistrikan, Air (Pipa), dan Instalasi Konstruksi Lainnya Sub Golongan Instalasi Sistem Kelistrikan Kelompok Usaha Instalasi Listrik Jabatan Kerja Ahli Perencanaan Iluminasi",SKKNI Nomor 379 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),379 Tahun 2013,31 Desember 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Golongan Konstruksi Khusus Lainnya Sub Golongan Konstruksi Khusus Lainnya Kelompok Usaha Konstruksi Khusus Lainnya YTDL Jabatan Kerja Tukang Pasang Water Proofing,SKKNI Nomor 377 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),377 Tahun 2013,31 Desember 2013,7
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Golongan Pembongkaran dan Penyiapan Lahan Sub Golongan Penyiapan Lahan Kelompok Usaha Penyiapan Lahan Jabatan Kerja Manajer Alat Berat,SKKNI Nomor 206 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),206 Tahun 2013,24 Juli 2013,8
Kategori Konstruksi Golongan Pokok Konstruksi Khusus Golongan Penyelesaian Konstruksi Bangunan Sub Golongan Dekorasi Interior Jabatan Kerja Pengawas Pekerjaan Interior,SKKNI Nomor 342 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),342 Tahun 2013,16 Desember 2013,9
"Kategori Konstruksi Golongan Pokok Konstruksi Khusus Golongan Penyelesaian Konstruksi Bangunan Sub Golongan Penyelesaian Konstruksi Bangunan Kelompok Usaha Pengerjaan Lantai, Dinding, Peralatan Saniter dan Plafon Jabatan Kerja Pelaksana Pekerjaan Interior",SKKNI Nomor 308 Tahun 2013,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),308 Tahun 2013,12 November 2013,9
STANDAR KOMPETENSI KERJA NASIONAL INDONESIA KATEGORI KONSTRUKSI GOLONGAN POKOK KONSTRUKSI BANGUNAN SIPIL GOLONGAN KONSTRUKSI JALAN DAN REL KERETA API SUB GOLONGAN KONSTRUKSI JALAN DAN REL KERETA API KELOMPOK USAHA KONSTRUKSI JALAN RAYA JABATAN KERJA PELAKSANA LAPANGAN PEKERJAAN JALAN,STANDAR KOMPETENSI KERJA NASIONAL INDONESIA KATEGORI KONSTRUKSI GOLONGAN POKOK KONSTRUKSI BANGUNAN SIPIL GOLONGAN KONSTRUKSI JALAN DAN REL KERETA API SUB GOLONGAN KONSTRUKSI JALAN DAN REL KERETA API KELOMPOK USAHA KONSTRUKSI JALAN RAYA JABATAN KERJA PELAKSANA LAPANGAN PEKERJAAN JALAN,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),NOMOR 373 TAHUN 2013,31 Desember 2013,8
Sektor Konstruksi untuk Jabatan Kerja Quantity Surveyor,SKKNI Nomor 06 Tahun 2011,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),06 Tahun 2011,25 Januari 2011,18
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Bangunan Gedung Jabatan Kerja Ahli Perencana Pondasi,SKKNI Nomor 277 Tahun 2010,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),277 Tahun 2010,03 Desember 2010,9
Sektor Konstruksi Bidang Mekanikal Jabatan Kerja Mekanik Hidrolik Alat Berat,SKKNI Tahun 2010 Nomor 088,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),88 Tahun 2010,18 Mei 2010,7
Sektor Konstruksi Bidang Mekanikal Jabatan Kerja Operator Backhoe Loader,SKKNI Tahun 2010 Nomor 089,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),89 Tahun 2010,18 Mei 2010,8
Sektor Konstruksi Bidang Mekanikal Jabatan Kerja Operator Wheel Excavator,SKKNI Tahun 2010 Nomor 091,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),91 Tahun 2010,18 Mei 2010,10
Sektor Konstruksi Bidang Tata Lingkungan Jabatan Kerja Ahli Perencana Pengelolaan Sampah,SKKNI Nomor 205 Tahun 2010,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),205 Tahun 2010,06 September 2010,12
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Instalasi Pengolahan Air Minum Area Kerja Operasi dan Pemeliharaan Unit Air Baku,Dicabut dengan ditetapkannya SKKNI 2014-422,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),127 Tahun 2010,06 Juli 2010,10
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Instalasi Pengolahan Air Minum Area Kerja Operasi dan Pemeliharaan Unit Produksi,Dicabut dengan ditetapkannya SKKNI 2014-422,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),125 Tahun 2010,06 Juli 2010,6
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Instalasi Pengolahan Air Minum Area Kerja Operasi dan Pemeliharaan Unit Transmisi dan Distribusi,Dicabut dengan ditetapkannya SKKNI 2014-422,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),126 Tahun 2010,06 Juli 2010,29
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Kerja Operator Instalasi Pengolahan Lumpur Tinja,SKKNI Nomor 204 Tahun 2010,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),204 Tahun 2010,06 September 2010,5
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Perpipaan Air Bersih dan Limbah Jabatan Kerja Pengawas Pekerjaan Perpipaan Air Limbah Rumah Tangga,SKKNI Nomor 206 Tahun 2010,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),206 Tahun 2010,06 September 2010,5
"Sektor Listrik, Gas dan Air Bidang Pengadaan dan Penyaluran Air Sub Bidang Sistem Penyediaan Air Minum (SPAM) Jabatan Kerja Pelaksana Konstruksi Bangunan Unit Distribusi SPAM",SKKNI Nomor 170 Tahun 2010,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),170 Tahun 2010,26 Agustus 2010,8
PENETAPAN STANDAR KOMPETENSI KERJA NASIONAL INDONESIA SEKTOR KONSTRUKSI BIDANG KONSTRUKSI GEDUNG DAN BANGUNANSIPII SUB BIDANG PENGAIRAN UNTUK JABATAN PELAKSANA PEMASANGAN PINTU AIR,Sektor Konsturksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Pengairan untuk Jabatan Pelaksana Pemasangan Pintu Air,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),KEP. 183/MEN/V/2009,29 Mei 2009,6
Sektor Konstruksi Bidang Instalasi Gedung dan Bangunan Sipil Sub Bidang Instalasi Elektrikal Jabatan Kerja Teknisi Fire Alarm,SKKNI Tahun 2009 Nomor 304,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),304 Tahun 2009,30 September 2009,6
Sektor Konstruksi Bidang Instalasi Gedung dan Bangunan Sipil Sub Bidang Instalasi Mekanikal Jabatan Ahli Pesawat Lift dan Eskalator,SKKNI Tahun 2009 Nomor 297,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),297 Tahun 2009,29 September 2009,6
Sektor Konstruksi Bidang Instalasi Gedung dan Bangunan Sipil Sub Bidang Instalasi Mekanikal Jabatan Kerja Operator Gondola Pada Bangunan Gedung,SKKNI Tahun 2009 Nomor 296,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),296 Tahun 2009,29 September 2009,8
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Konstruksi Gedung Jabatan Kerja Ahli Geodesi dan Bangunan Gedung,SKKNI Tahun 2009 Nomor 295,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),295 Tahun 2009,29 September 2009,5
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Pemasangan Atap untuk Jabatan Kerja Mandor Installer Rangka Atap Baja Ringan,SKKNI Tahun 2009 Nomor 244,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),244 Tahun 2009,31 Agustus 2009,8
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Pemasangan Pondasi dan Pilar untuk Jabatan Kerja Mandor Tukan Pasang Beton Precast,SKKNI Tahun 2009 Nomor 243,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),243 Tahun 2009,31 Agustus 2009,8
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Pengairan untuk Jabatan Kerja Inspektur Bendungan Urukan,SKKNI Tahun 2009 Nomor 068 TENTANG PENETAPAN STANDAR KOMPETENSI KERJA NASIONAI INDONESIA SEKTOR KONSTRUKSI BIDANG KONSTRUKSI GEDUNG DAN BANGUNAN SIPIL SUB BIDANG PENGAIRAN UNTUK JABATAN KERJA INSPEKTUR BENDUNGAN URUKAN,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),68 Tahun 2009,19 Maret 2009,12
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Pengairan untuk Jabatan Kerja Mekanik Kapal Keruk,SKKNI Tahun 2009 Nomor 070,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),70 Tahun 2009,19 Maret 2009,6
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Pengairan untuk Jabatan Kerja Pelaksana Lapangan Pekerjaan Bangunan Pengaman Pantai,SKKNI Tahun 2009 Nomor 069,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),69 Tahun 2009,19 Maret 2009,6
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Pengairan Untuk Jabatan Kerja Teknisi Geoteknik,SKKNI Tahun 2009 Nomor 181,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),181 Tahun 2009,29 Mei 2009,6
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Pengairan untuk Jabatan Kerja Teknisi Grouting Senior,SKKNI Tahun 2009 Nomor 184,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),184 Tahun 2009,02 Juni 2009,5
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Transportasi Ahli Geodesi untuk Perencanaan Teknis Jalan dan Jembatan,SKKNI Tahun 2009 Nomor 328,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),328 Tahun 2009,30 September 2009,6
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Transportasi Jabatan Kerja Pelaksana Lapangan Pekerjaan Pemasangan Jembatan Rangka Baja Standar,SKKNI Tahun 2009 Nomor 316,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),316 Tahun 2009,30 September 2009,6
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Transportasi Jabatan Kerja Pelaksana Lapangan Perkerasan Jalan Beton,SKKNI Tahun 2009 Nomor 317,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),317 Tahun 2009,30 September 2009,10
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Transportasi Juru Gambar Pekerjaan Jalan dan Jembatan,SKKNI Tahun 2009 Nomor 327,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),327 Tahun 2009,30 September 2009,7
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Transportasi Manager Produksi Campuran Aspal Panas,SKKNI Tahun 2009 Nomor 329,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),329 Tahun 2009,30 September 2009,8
Sektor Konstruksi Bidang Konstruksi Gedung dan Bangunan Sipil Sub Bidang Transportasi Mekanik Asphalt Mixing Plant,SKKNI Tahun 2009 Nomor 326,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),326 Tahun 2009,30 September 2009,6
Sektor Konstruksi Bidang Penyelesaian Konstruksi Gedung dan Sub Bidang Dekorasi Eksterior untuk Jabatan Kerja Tukang Taman pada Bangunan Gedung,SKKNI Tahun 2009 Nomor 245Â Sektor Konstruksi Bidang Penyelesaian Konstruksi Gedung dan Sub Bidang Dekorasi Eksterior untuk Jabatan Kerja Tukang Taman pada Bangunan Gedung,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),245 Tahun 2009,31 Agustus 2009,6
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Ahli Deteksi Kebocoran dan Uji Coba (Comissioning) Jaringan Pemipaan SPAM,Dicabut dengan ditetapkannya SKKNI 2014-422,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),320 Tahun 2009,30 September 2009,53
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Ahli Penanggulangan Kehilangan Air SPAM,Dicabut dengan ditetapkannya SKKNI 2014-422,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),325 Tahun 2009,30 September 2009,25
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Kerja Ahli Perencana Sistem Sanitasi Lingkungan (Air Limbah Permukiman),SKKNI Tahun 2009 Nomor 315,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),315 Tahun 2009,30 September 2009,6
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Kerja Pelaksana Konstruksi Bangunan Unit Distribusi SPAM,Dicabut dengan ditetapkannya SKKNI 2014-422,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),314 Tahun 2009,30 September 2009,61
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Kerja Pelaksana Konstruksi Bangunan Unit Produksi SPAM,SKKNI Tahun 2009 Nomor 318,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),318 Tahun 2009,30 September 2009,8
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Kerja Pelaksana Lapangan Pekerjaan Bangunan Air Limbah Permukiman (Setempat dan Terpusat),SKKNI Tahun 2009 Nomor 312,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),312 Tahun 2009,30 September 2009,6
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Kerja Pelaksana Lapangan Pekerjaan Lapisan Kedap Air di Tempat Pemrosesan Akhir (TPA),SKKNI Tahun 2009 Nomor 319,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),319 Tahun 2009,30 September 2009,5
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Kerja Pelaksana Lapangan Pekerjaan Pemasangan Pipa Leachate (Lindi) Pipa Gas/Ventilasi di Tempat Pemrosesan Akhir (TPA),SKKNI Tahun 2009 Nomor 313,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),313 Tahun 2009,30 September 2009,5
Sektor Konstruksi Bidang Tata Lingkungan Sub Bidang Pengolahan Limbah dan Air Bersih Jabatan Kerja Pelaksana Pengujian Kualitas Air SPAM,Dicabut dengan ditetapkannya SKKNI 2014-422,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),321 Tahun 2009,30 September 2009,80
SKN Bidang Konstruksi Beton,SKN Bidang Konstruksi Beton,SKN,,01 Desember 2003,52
Sektor Industri Minyak Dan Serta Panas Bumi Sub Sektor Industri Minyak dan Gas Bumi,Sektor Industri Minyak Dan Serta Panas Bumi Sub Sektor Industri Minyak dan Gas Bumi,Standar Kompetensi Kerja Khusus (SKKK),,09 Oktober 2018,272
