Id,Name,Description,Type,Adjudication,Adjustment Date,Unit Counts,Link Reference
1254,Aircraft Sheet Metal Forming (Konstruksi Badan Pesawat Udara) MEA National Aerospace Industry Standards (Australia),MEA National Aerospace Industry Standards (Australia),Standar Kompetensi Kerja Internasional (SKKI),,18 April 19,23,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
1268,EGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMAPERSADA NUSANTARA,EGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMAPERSADA NUSANTARA,Standar Kompetensi Kerja Khusus (SKKK),2/905/LP.00.00/IV/2021,30 April 2021,5,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
1267,REGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PEMELIHARAAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMA PERSADA NUSANTARA,REGISTRASI STANDAR KOMPETENSI KERJA KHUSUS PEMELIHARAAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI PT. PAMA PERSADA NUSANTARA,Standar Kompetensi Kerja Khusus (SKKK),2/904/LP.00.00/IV/2021,30 April 2021,16,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
1184,BIDANG TEKNIS BIDANG PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI,SKKK PT. PAMA,Standar Kompetensi Kerja Khusus (SKKK),KEP. 2/497/LP.00.00/VII/2020,20 Juli 2020,35,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
1183,"BIDANG TEKNIS PENGAWAS OPERASIONAL, PEMELIHARAAN DAN PENGOPERASIAN ALAT BERAT PERTAMBANGAN DAN KONSTRUKSI",SKKK PT. PAMA,Standar Kompetensi Kerja Khusus (SKKK),KEP. 2/494/LP.00.00/VII/2020,20 Juli 2020,39,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
847,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Lainnya pada Jabatan Kerja Mandor Pekerjaan Timbunan Tubuh Bendungan Tipe Urugan,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Lainnya pada Jabatan Kerja Mandor Pekerjaan Timbunan Tubuh Bendungan Tipe Urugan,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),180 Tahun 2019,31 Juli 2019,3,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
946,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Ahli Hidrolika,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Ahli Hidrolika,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),151 Tahun 2019,17 Juli 2019,8,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
905,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Teknik Pantai,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Ahli Teknik Pantai,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),206 Tahun 2019,15 Agustus 2019,21,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
903,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil Pada Jabatan Kerja Ahli Teknik Rawa,-,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),169 Tahun 2019,18 Juli 2019,8,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
907,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Mandor Drainase Jalan,Kategori Konstruksi Golongan Pokok Konstruksi Bangunan Sipil pada Jabatan Kerja Mandor Drainase Jalan,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),208 Tahun 2019,15 Agustus 2019,3,https://bnsp.go.id/skk?namaskk=konstruksi&page=1
945,Kategori Konstruksi Golongan Pokok Konstruksi Gedung Pada Jabatan Kerja Ahli Elektrikal Konstruksi Bangunan Gedung,Kategori Konstruksi Golongan Pokok Konstruksi Gedung Pada Jabatan Kerja Ahli Elektrikal Konstruksi Bangunan Gedung,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),162 Tahun 2019,18 Juli 2019,8,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
843,Kategori Konstruksi Golongan Pokok Konstruksi Gedung pada Jabatan Kerja Ahli Perawatan Bangunan Gedung,SKKNI Nomor 255 Tahun 2019 tanggal 17 September 2019,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),255 Tahun 2019,17 September 2019,8,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
998,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Ahli Geologi Pekerjaan Konstruksi,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Ahli Geologi Pekerjaan Konstruksi,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),149 Tahun 2019,17 Juli 2019,9,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
929,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Grouting Bendungan Besar,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Grouting Bendungan Besar,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),153 Tahun 2019,18 Juli 2019,4,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
973,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Hydraulic Hammer Breaker,.,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),158 Tahun 2019,18 Juli 2019,4,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
928,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Pile Drive Hammer,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Pile Drive Hammer,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),150 Tahun 2019,17 Juli 2019,3,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
844,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Pneumatic Tire Roller,-,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),164 Tahun 2019,18 Juli 2019,6,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
846,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Ripper Tractor,-,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),165 Tahun  2019,18 Juli 2019,4,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
940,Kategori Konstruksi Golongan Pokok Konstruksi Khusus Pada Jabatan Kerja Operator Vibrator Roller,-,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),168 Tahun 2019,18 Juli 2019,6,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
970,Kategori Konstruksi Golongan Pokok Konstruksi Khusus pada Jabatan Kerja Teknisi Refrigerasi dan Tata Udara,.,Standar Kompetensi Kerja Nasional Indonesia (SKKNI),41 Tahun 2019,22 April 2019,27,https://bnsp.go.id/skk?namaskk=konstruksi&page=2
